Patent Doc 0.txt,0.00,3.63,4.85,4.73,3.96,3.95,4.10,4.48,5.48,3.80,4.54,4.63,4.70,4.42,4.54,4.38,4.35,4.35,3.99,3.82
Patent Doc 1.txt,3.63,0.00,4.62,4.51,3.72,3.56,3.72,4.05,5.22,3.43,4.24,4.23,4.35,4.25,4.29,4.01,4.04,4.04,3.54,3.40
Patent Doc 2.txt,4.85,4.62,0.00,5.40,4.74,4.41,4.61,4.78,5.55,4.69,5.08,5.00,5.10,4.90,5.06,4.82,4.83,4.83,4.52,4.64
Patent Doc 3.txt,4.73,4.51,5.40,0.00,4.71,4.58,4.60,4.86,5.80,4.71,4.98,5.13,5.07,4.98,5.08,4.96,4.88,4.88,4.52,4.58
Patent Doc 4.txt,3.96,3.72,4.74,4.71,0.00,3.70,3.84,4.30,5.41,3.85,4.47,4.42,4.48,4.37,4.48,4.20,4.25,4.25,3.69,3.71
Patent Doc 5.txt,3.95,3.56,4.41,4.58,3.70,0.00,3.47,3.93,5.06,3.73,4.16,4.11,4.20,4.14,4.21,2.67,3.82,3.82,3.52,3.51
Patent Doc 6.txt,4.10,3.72,4.61,4.60,3.84,3.47,0.00,4.08,5.06,3.82,4.25,4.35,4.34,4.34,4.16,3.87,3.98,3.98,3.60,3.74
Patent Doc 7.txt,4.48,4.05,4.78,4.86,4.30,3.93,4.08,0.00,5.17,4.18,4.21,4.65,4.69,4.57,4.65,4.30,4.30,4.30,4.06,4.03
Patent Doc 8.txt,5.48,5.22,5.55,5.80,5.41,5.06,5.06,5.17,0.00,5.30,5.53,5.41,5.53,5.57,5.58,5.41,5.21,5.21,5.22,5.26
Patent Doc 9.txt,3.80,3.43,4.69,4.71,3.85,3.73,3.82,4.18,5.30,0.00,4.34,4.40,4.36,4.40,4.45,4.21,4.19,4.19,3.83,3.67
Patent Doc 10.txt,4.54,4.24,5.08,4.98,4.47,4.16,4.25,4.21,5.53,4.34,0.00,4.87,4.86,4.56,4.74,4.42,4.53,4.53,4.32,4.25
Patent Doc 11.txt,4.63,4.23,5.00,5.13,4.42,4.11,4.35,4.65,5.41,4.40,4.87,0.00,4.39,4.73,4.82,4.53,4.39,4.39,4.32,4.29
Patent Doc 12.txt,4.70,4.35,5.10,5.07,4.48,4.20,4.34,4.69,5.53,4.36,4.86,4.39,0.00,4.76,4.97,4.56,4.41,4.41,4.19,4.31
Patent Doc 13.txt,4.42,4.25,4.90,4.98,4.37,4.14,4.34,4.57,5.57,4.40,4.56,4.73,4.76,0.00,4.74,4.46,4.55,4.55,4.25,4.27
Patent Doc 14.txt,4.54,4.29,5.06,5.08,4.48,4.21,4.16,4.65,5.58,4.45,4.74,4.82,4.97,4.74,0.00,4.53,4.62,4.62,4.39,4.34
Patent Doc 15.txt,4.38,4.01,4.82,4.96,4.20,2.67,3.87,4.30,5.41,4.21,4.42,4.53,4.56,4.46,4.53,0.00,4.21,4.21,3.99,4.04
Patent Doc 16.txt,4.35,4.04,4.83,4.88,4.25,3.82,3.98,4.30,5.21,4.19,4.53,4.39,4.41,4.55,4.62,4.21,0.00,0.00,3.98,4.07
Patent Doc 17.txt,4.35,4.04,4.83,4.88,4.25,3.82,3.98,4.30,5.21,4.19,4.53,4.39,4.41,4.55,4.62,4.21,0.00,0.00,3.98,4.07
Patent Doc 18.txt,3.99,3.54,4.52,4.52,3.69,3.52,3.60,4.06,5.22,3.83,4.32,4.32,4.19,4.25,4.39,3.99,3.98,3.98,0.00,3.71
Patent Doc 19.txt,3.82,3.40,4.64,4.58,3.71,3.51,3.74,4.03,5.26,3.67,4.25,4.29,4.31,4.27,4.34,4.04,4.07,4.07,3.71,0.00
