Patent Doc 0.txt,0.00,13.17,23.57,22.33,15.68,15.61,16.83,20.06,30.00,14.40,20.64,21.42,22.06,19.50,20.63,19.21,18.93,18.93,15.92,14.57
Patent Doc 1.txt,13.17,0.00,21.35,20.32,13.82,12.65,13.82,16.43,27.23,11.75,17.95,17.91,18.92,18.06,18.40,16.09,16.28,16.28,12.55,11.55
Patent Doc 2.txt,23.57,21.35,0.00,29.17,22.44,19.47,21.27,22.87,30.80,22.00,25.83,25.00,26.02,24.00,25.60,23.23,23.30,23.30,20.40,21.53
Patent Doc 3.txt,22.33,20.32,29.17,0.00,22.23,20.94,21.17,23.61,33.67,22.17,24.79,26.33,25.72,24.83,25.77,24.60,23.80,23.80,20.41,20.97
Patent Doc 4.txt,15.68,13.82,22.44,22.23,0.00,13.66,14.71,18.47,29.23,14.84,19.97,19.50,20.11,19.12,20.07,17.62,18.05,18.05,13.64,13.74
Patent Doc 5.txt,15.61,12.65,19.47,20.94,13.66,0.00,12.07,15.44,25.61,13.90,17.33,16.86,17.67,17.11,17.69,7.13,14.61,14.61,12.38,12.29
Patent Doc 6.txt,16.83,13.82,21.27,21.17,14.71,12.07,0.00,16.62,25.60,14.61,18.03,18.88,18.84,18.87,17.27,14.95,15.83,15.83,12.99,14.00
Patent Doc 7.txt,20.06,16.43,22.87,23.61,18.47,15.44,16.62,0.00,26.78,17.48,17.73,21.58,22.00,20.89,21.62,18.51,18.52,18.52,16.49,16.22
Patent Doc 8.txt,30.00,27.23,30.80,33.67,29.23,25.61,25.60,26.78,0.00,28.07,30.57,29.25,30.56,31.00,31.10,29.21,27.10,27.10,27.23,27.63
Patent Doc 9.txt,14.40,11.75,22.00,22.17,14.84,13.90,14.61,17.48,28.07,0.00,18.86,19.39,19.05,19.33,19.83,17.71,17.53,17.53,14.70,13.44
Patent Doc 10.txt,20.64,17.95,25.83,24.79,19.97,17.33,18.03,17.73,30.57,18.86,0.00,23.75,23.67,20.81,22.46,19.57,20.56,20.56,18.62,18.05
Patent Doc 11.txt,21.42,17.91,25.00,26.33,19.50,16.86,18.88,21.58,29.25,19.39,23.75,0.00,19.28,22.33,23.25,20.50,19.25,19.25,18.70,18.40
Patent Doc 12.txt,22.06,18.92,26.02,25.72,20.11,17.67,18.84,22.00,30.56,19.05,23.67,19.28,0.00,22.67,24.73,20.83,19.41,19.41,17.57,18.58
Patent Doc 13.txt,19.50,18.06,24.00,24.83,19.12,17.11,18.87,20.89,31.00,19.33,20.81,22.33,22.67,0.00,22.47,19.86,20.70,20.70,18.06,18.20
Patent Doc 14.txt,20.63,18.40,25.60,25.77,20.07,17.69,17.27,21.62,31.10,19.83,22.46,23.25,24.73,22.47,0.00,20.54,21.30,21.30,19.31,18.87
Patent Doc 15.txt,19.21,16.09,23.23,24.60,17.62,7.13,14.95,18.51,29.21,17.71,19.57,20.50,20.83,19.86,20.54,0.00,17.73,17.73,15.88,16.29
Patent Doc 16.txt,18.93,16.28,23.30,23.80,18.05,14.61,15.83,18.52,27.10,17.53,20.56,19.25,19.41,20.70,21.30,17.73,0.00,0.00,15.81,16.57
Patent Doc 17.txt,18.93,16.28,23.30,23.80,18.05,14.61,15.83,18.52,27.10,17.53,20.56,19.25,19.41,20.70,21.30,17.73,0.00,0.00,15.81,16.57
Patent Doc 18.txt,15.92,12.55,20.40,20.41,13.64,12.38,12.99,16.49,27.23,14.70,18.62,18.70,17.57,18.06,19.31,15.88,15.81,15.81,0.00,13.74
Patent Doc 19.txt,14.57,11.55,21.53,20.97,13.74,12.29,14.00,16.22,27.63,13.44,18.05,18.40,18.58,18.20,18.87,16.29,16.57,16.57,13.74,0.00
